Value,Variable definition,Interaction Value,model Name,domain
Disaster-Prone Areas,"['Environmental Risks', 'Emergency Response']",True,llama3-70b,urban studies
Food Deserts,"['Food Access', 'Neighborhood Characteristics']",True,llama3-70b,urban studies
Mixed-Use Development,"['Urban Planning', 'Economic Activity']",True,llama3-70b,urban studies
Innovation Hubs,"['Economic Activity', 'Education and Research']",True,llama3-70b,urban studies
Cultural Heritage Sites,"['Urban History', 'Tourism']",True,llama3-70b,urban studies
Public Art Installations,"['Urban Aesthetics', 'Community Engagement']",True,llama3-70b,urban studies
Green Spaces,"['Urban Ecology', 'Land Use']",True,llama3-70b,urban studies
Urban Renewal Projects,"['Urban Development', 'Economic Incentives']",True,llama3-70b,urban studies
Pedestrian-Friendly Infrastructure,"['Transportation Infrastructure', 'Urban Design']",True,llama3-70b,urban studies
Public Transportation Hubs,"['Urban Density', 'Transportation Infrastructure']",True,llama3-70b,urban studies
Disaster-Prone Areas,"['Urban Ecology', 'Land Use']",False,llama3-70b,urban studies
Food Deserts,"['Urban Density', 'Transportation Infrastructure']",False,llama3-70b,urban studies
Mixed-Use Development,"['Food Access', 'Neighborhood Characteristics']",False,llama3-70b,urban studies
Disaster-Prone Areas,"['Urban Density', 'Transportation Infrastructure']",False,llama3-70b,urban studies
Innovation Hubs,"['Transportation Infrastructure', 'Urban Design']",False,llama3-70b,urban studies
Cultural Heritage Sites,"['Environmental Risks', 'Emergency Response']",False,llama3-70b,urban studies
Mixed-Use Development,"['Urban Ecology', 'Land Use']",False,llama3-70b,urban studies
Public Art Installations,"['Urban Development', 'Economic Incentives']",False,llama3-70b,urban studies
Mixed-Use Development,"['Urban Aesthetics', 'Community Engagement']",False,llama3-70b,urban studies
Green Spaces,"['Economic Activity', 'Education and Research']",False,llama3-70b,urban studies
Electromagnetic Induction,"['Type of Electromagnetic Phenomenon', 'Method of Generating Electricity']",True,llama3-70b,physics
Electromagnetic Pulse,"['Type of Radiation', 'Form of Electromagnetic Radiation']",True,llama3-70b,physics
Gravitational Redshift,"['Gravitational Effect', 'Type of Redshift']",True,llama3-70b,physics
Cosmic Microwave Background,"['Type of Cosmic Radiation', 'Evidence of the Big Bang']",True,llama3-70b,physics
Optical Fiber,"['Type of Communication Medium', 'Method of Data Transmission']",True,llama3-70b,physics
Nuclear Reaction,"['Type of Subatomic Interaction', 'Process of Nuclear Change']",True,llama3-70b,physics
Gravitational Wave,"['Type of Gravitational Phenomenon', 'Ripple in Space-Time']",True,llama3-70b,physics
Quantum Fluctuation,"['Type of Random Variation', 'Source of Uncertainty']",True,llama3-70b,physics
Thermal Expansion,"['Type of Material Deformation', 'Response to Temperature Change']",True,llama3-70b,physics
Magnetic Field Line,"['Type of Magnetic Structure', 'Path of Magnetic Force']",True,llama3-70b,physics
Electromagnetic Induction,"['Type of Magnetic Structure', 'Path of Magnetic Force']",False,llama3-70b,physics
Electromagnetic Pulse,"['Type of Gravitational Phenomenon', 'Ripple in Space-Time']",False,llama3-70b,physics
Electromagnetic Induction,"['Gravitational Effect', 'Type of Redshift']",False,llama3-70b,physics
Gravitational Redshift,"['Type of Electromagnetic Phenomenon', 'Method of Generating Electricity']",False,llama3-70b,physics
Cosmic Microwave Background,"['Type of Magnetic Structure', 'Path of Magnetic Force']",False,llama3-70b,physics
Electromagnetic Induction,"['Type of Communication Medium', 'Method of Data Transmission']",False,llama3-70b,physics
Electromagnetic Induction,"['Type of Radiation', 'Form of Electromagnetic Radiation']",False,llama3-70b,physics
Optical Fiber,"['Gravitational Effect', 'Type of Redshift']",False,llama3-70b,physics
Nuclear Reaction,"['Type of Cosmic Radiation', 'Evidence of the Big Bang']",False,llama3-70b,physics
Gravitational Wave,"['Type of Electromagnetic Phenomenon', 'Method of Generating Electricity']",False,llama3-70b,physics
Cognitive Impairment,"['Cognitive Function', 'Neurological Status']",True,llama3-70b,health
Cardiovascular Disease Diagnosis,"['Disease Status', 'Cardiovascular Health']",True,llama3-70b,health
Medication Non-Adherence,"['Medication Compliance', 'Treatment Efficacy']",True,llama3-70b,health
Chronic Stress,"['Mental Health Status', 'Coping Mechanisms']",True,llama3-70b,health
Environmental Toxins Exposure,"['Environmental Exposure', 'Toxicant Levels']",True,llama3-70b,health
Nutrient Deficiency,"['Dietary Intake', 'Nutrient Status']",True,llama3-70b,health
Social Isolation,"['Social Connections', 'Emotional Support']",True,llama3-70b,health
Infectious Disease Outbreak,"['Infection Status', 'Disease Transmission']",True,llama3-70b,health
Sleep Disturbances,"['Sleep Quality', 'Circadian Rhythms']",True,llama3-70b,health
Sedentary Lifestyle,"['Physical Activity Level', 'Lifestyle Habits']",True,llama3-70b,health
Cognitive Impairment,"['Social Connections', 'Emotional Support']",False,llama3-70b,health
Cardiovascular Disease Diagnosis,"['Infection Status', 'Disease Transmission']",False,llama3-70b,health
Medication Non-Adherence,"['Cognitive Function', 'Neurological Status']",False,llama3-70b,health
Chronic Stress,"['Cognitive Function', 'Neurological Status']",False,llama3-70b,health
Environmental Toxins Exposure,"['Dietary Intake', 'Nutrient Status']",False,llama3-70b,health
Nutrient Deficiency,"['Cognitive Function', 'Neurological Status']",False,llama3-70b,health
Nutrient Deficiency,"['Mental Health Status', 'Coping Mechanisms']",False,llama3-70b,health
Cardiovascular Disease Diagnosis,"['Sleep Quality', 'Circadian Rhythms']",False,llama3-70b,health
Cardiovascular Disease Diagnosis,"['Mental Health Status', 'Coping Mechanisms']",False,llama3-70b,health
Social Isolation,"['Infection Status', 'Disease Transmission']",False,llama3-70b,health
Chemical Mechanical Polishing,"['Wafer Planarization Method', 'Material Removal Technique']",True,llama3-70b,semiconductor manufacturing
Plasma Enhanced Chemical Vapor Deposition,"['Dielectric Material Deposition Method', 'Dielectric Material']",True,llama3-70b,semiconductor manufacturing
Photoresist Strip and Clean,"['Photoresist Removal Method', 'Wafer Cleaning Method']",True,llama3-70b,semiconductor manufacturing
Rapid Thermal Annealing,"['Dopant Activation Method', 'Thermal Budget Control']",True,llama3-70b,semiconductor manufacturing
Gate Oxide Formation,"['Gate Dielectric Material', 'Gate Oxide Formation Method']",True,llama3-70b,semiconductor manufacturing
Tungsten Via Fill,"['Via Fill Material', 'Via Fill Method']",True,llama3-70b,semiconductor manufacturing
Copper Interconnect Fabrication,"['Interconnect Material', 'Interconnect Fabrication Method']",True,llama3-70b,semiconductor manufacturing
